matches,innings,runs,highest score,average,strike rate,country,duration,not out ratio,duck rate,century frequency,century conversion rate,balls faced per innings
463,452,18426,200,44.83,86.23,India,23,0.09,0.04,0.11,0.34,47.27
404,380,14234,169,41.98,78.86,Sri Lanka,15,0.11,0.04,0.07,0.21,47.49
375,365,13704,164,42.03,80.39,Australia,17,0.11,0.05,0.08,0.27,46.7
445,433,13430,189,32.36,91.2,Sri Lanka,22,0.04,0.08,0.06,0.29,34.01
448,418,12650,144,33.37,78.96,Sri Lanka,17,0.09,0.07,0.05,0.2,38.33
245,236,11792,183,59.85,93.39,India,12,0.17,0.06,0.18,0.43,53.5
378,350,11739,137,39.52,74.24,Pakistan,16,0.15,0.06,0.03,0.11,45.18
328,314,11579,139,44.36,72.89,South Africa,18,0.17,0.05,0.05,0.17,50.59
311,300,11363,183,41.02,73.7,India,15,0.08,0.05,0.07,0.23,51.39
344,318,10889,153,39.16,71.24,India,15,0.13,0.04,0.04,0.13,48.06
350,297,10773,183,50.57,87.56,India,15,0.28,0.03,0.03,0.12,41.42
301,294,10480,215,37.83,87.19,West Indies,20,0.06,0.09,0.09,0.32,40.88
299,289,10405,169,40.48,79.51,West Indies,17,0.11,0.06,0.07,0.23,45.28
330,303,10290,161,39.27,86.23,Sri Lanka,17,0.14,0.04,0.07,0.32,39.38
288,273,9720,141,41.71,75.1,Pakistan,12,0.15,0.05,0.05,0.19,47.41
287,279,9619,172,35.89,96.94,Australia,12,0.04,0.07,0.06,0.23,35.56
228,218,9577,176,53.5,101.09,South Africa,13,0.18,0.03,0.11,0.32,43.45
334,308,9378,153,36.92,74.02,India,15,0.18,0.03,0.02,0.11,41.13
308,296,9284,145,34.9,81.13,Sri Lanka,19,0.1,0.06,0.04,0.15,38.66
224,217,9115,264,49.27,88.92,India,13,0.15,0.06,0.13,0.4,47.24
247,244,8824,194,39.21,80.67,Pakistan,14,0.08,0.06,0.08,0.32,44.83
268,251,8778,150,41.6,70.74,West Indies,17,0.16,0.02,0.04,0.16,49.43
304,278,8701,150,36.55,87.67,India,17,0.14,0.06,0.05,0.21,35.7
